更新时间,#genre#
2024-10-31 06:30:28,url
📺央视频道,#genre#
CCTV-1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226733/index.m3u8$订阅源
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000004000002226/1.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8$订阅源
CCTV-1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8$订阅源
CCTV-1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-1,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$订阅源
CCTV-1,http://115.234.227.164:8808/udp/233.50.200.99:5140$订阅源|1920x1080
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000021973/1.m3u8$订阅源
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221226559/index.m3u8$订阅源
CCTV-1,http://221.205.129.74:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-1,http://221.205.129.229:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-1,http://115.230.188.101:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://115.207.183.14:8881/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.99:5140$浙江电信组播源
CCTV-1,http://115.230.188.101:9999/rtp/233.50.201.99:5140$浙江电信组播源|1920x1080
CCTV-1,http://122.9.151.210:938/rtp/238.255.2.91:5999$贵州电信组播源
CCTV-1,http://222.188.160.161:4022/rtp/239.49.8.129:6000$组播源|1920x1080
