更新时间,#genre#
2024-10-30 06:30:02,url
📺央视频道,#genre#
CCTV-1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv$订阅源
CCTV-1,http://61.163.181.78:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://121.24.98.154:8090/hls/9/index.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/270000001322/69900158041111100000002133/index.m3u8$订阅源
CCTV-1,http://[2409:8087:1a01:df::4009]/TVOD/88888888/224/3221225816/main.m3u8$订阅源
CCTV-1,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226733/index.m3u8$订阅源
CCTV-1,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/index.m3u8$订阅源
CCTV-1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8$订阅源
CCTV-1,http://58.57.21.166:9901/tsfile/live/0001_1.m3u8$订阅源
CCTV-1,http://101.43.66.162/migunew.php?id=cctv1$订阅源
CCTV-1,http://221.205.129.74:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-1,http://221.205.130.91:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-1,http://221.205.129.229:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-1,http://106.116.3.60:8890/rtp/239.254.200.45:8008$河北电信组播源|1920x1080
CCTV-1,http://222.141.132.53:888/rtp/225.1.4.73:1102$河南联通组播源|1920x1080
CCTV-1,http://222.141.132.53:888/rtp/225.1.4.1:1030$河南联通组播源|1920x1080
CCTV-1,http://42.92.117.243:8888/rtp/239.255.30.101:8231$甘肃电信组播源|1920x1080
CCTV-1,http://222.70.23.103:6666/rtp/239.45.3.145:5140$上海电信组播源|1920x1080
CCTV-1,http://139.196.151.191:2051/rtp/239.45.3.145:5140$上海电信组播源
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.222:5140$浙江电信组播源
CCTV-1,http://183.141.216.3:9999/rtp/233.50.201.222:5140$浙江电信组播源|1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.99:5140$浙江电信组播源
CCTV-1,http://183.141.216.3:9999/rtp/233.50.201.99:5140$浙江电信组播源|1920x1080
CCTV-1,http://125.80.154.251:8003/rtp/235.254.198.51:1480$重庆电信组播源|1920x1080
CCTV-1,http://125.80.154.251:8003/rtp/235.254.198.1:1280$重庆电信组播源|1920x1080
CCTV-1,http://122.4.30.168:8688/rtp/239.21.1.120:5002$山东电信组播源|1920x1080
CCTV-1,http://122.4.30.168:8688/rtp/239.21.1.1:5002$山东电信组播源|1920x1080
CCTV-2,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://kxrj.site:998/123/mg.php?id=cctv2$订阅源
CCTV-2,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv$订阅源
CCTV-2,http://113.57.20.158:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://171.8.138.74:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no$订阅源|1920x1080
CCTV-2,http://ygbh666.cn/aikmigu.php?id=cctv2$订阅源
CCTV-2,http://219.159.194.66:8181/tsfile/live/faacts/0002_1.m3u8$订阅源|1920x1080
CCTV-2,http://39.98.201.151:9090/udp/225.1.8.2:8084$订阅源
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8$订阅源
CCTV-2,http://221.205.130.91:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-2,http://221.205.129.74:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-2,http://221.205.129.229:9999/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-2,http://106.116.3.60:8890/rtp/239.254.200.158:6000$河北电信组播源|1920x1080
CCTV-2,http://222.141.132.53:888/rtp/225.1.4.74:1103$河南联通组播源|1920x1080
CCTV-2,http://222.141.132.53:888/rtp/225.1.4.2:1031$河南联通组播源|1920x1080
CCTV-2,http://42.92.117.243:8888/rtp/239.255.30.179:8231$甘肃电信组播源|1920x1080
CCTV-2,http://222.70.23.103:6666/rtp/239.45.1.109:5140$上海电信组播源|1920x1080
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140$上海电信组播源
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.119:5140$浙江电信组播源
CCTV-2,http://183.141.216.3:9999/rtp/233.50.201.119:5140$浙江电信组播源|1920x1080
CCTV-2,http://120.55.49.231:3095/rtp/233.50.201.2:5140$浙江电信组播源
CCTV-2,http://183.141.216.3:9999/rtp/233.50.201.2:5140$浙江电信组播源|1920x1080
CCTV-2,http://125.80.154.251:8003/rtp/235.254.198.52:1484$重庆电信组播源|1920x1080
CCTV-2,http://125.80.154.251:8003/rtp/235.254.198.2:1284$重庆电信组播源|1920x1080
CCTV-2,http://122.4.30.168:8688/rtp/239.21.1.151:5002$山东电信组播源|1920x1080
CCTV-2,http://122.4.30.168:8688/rtp/239.21.1.2:5002$山东电信组播源|1920x1080
CCTV-3,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://219.159.194.66:8181/tsfile/live/faacts/0003_1.m3u8$订阅源|1920x1080
CCTV-3,http://58.17.48.228:808/hls/3/index.m3u8$订阅源
CCTV-3,http://171.8.138.74:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-3,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8$订阅源
CCTV-3,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8$订阅源
CCTV-3,http://[2409:8087:74d9:21::6]:80/270000001128/9900000003/index.m3u8$订阅源
CCTV-3,http://ygbh666.cn/aikmigu.php?id=cctv3$订阅源
CCTV-3,http://101.43.66.162/migunew.php?id=cctv3$订阅源
CCTV-3,http://116.117.105.198:8096/tsfile/live/0003_1.m3u8$订阅源
CCTV-3,http://221.205.129.229:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-3,http://221.205.130.91:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-3,http://221.205.129.74:9999/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-3,http://106.116.3.60:8890/rtp/239.254.200.13:6000$河北电信组播源|1920x1080
CCTV-3,http://106.116.3.60:8890/rtp/239.254.201.152:7205$河北电信组播源|1920x1080
CCTV-3,http://222.141.132.53:888/rtp/225.1.4.158:1194$河南联通组播源|1920x1080
CCTV-3,http://42.92.117.243:8888/rtp/239.255.29.12:8231$甘肃电信组播源|1920x1080
CCTV-3,http://222.70.23.103:6666/rtp/239.45.1.68:5140$上海电信组播源|1920x1080
CCTV-3,http://139.196.151.191:2051/rtp/239.45.1.68:5140$上海电信组播源
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.196:5140$浙江电信组播源
CCTV-3,http://183.141.216.3:9999/rtp/233.50.201.196:5140$浙江电信组播源|1920x1080
CCTV-3,http://120.55.49.231:3095/rtp/233.50.201.16:5140$浙江电信组播源
CCTV-3,http://183.141.216.3:9999/rtp/233.50.201.16:5140$浙江电信组播源|1920x1080
CCTV-3,http://125.80.154.251:8003/rtp/235.254.198.53:1488$重庆电信组播源|1920x1080
CCTV-3,http://125.80.154.251:8003/rtp/235.254.198.141:1842$重庆电信组播源|1920x1080
CCTV-3,http://122.4.30.168:8688/rtp/239.21.2.45:5002$山东电信组播源|1920x1080
CCTV-3,http://122.4.30.168:8688/rtp/239.21.1.3:5002$山东电信组播源|1920x1080
CCTV-4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-4,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000005000265004/1.m3u8$订阅源
CCTV-4,http://221.0.78.198:1681/hls/10204/index.m3u8$订阅源
CCTV-4,http://171.88.123.87:4022/udp/239.93.1.105:5140$订阅源|1920x1080
CCTV-4,http://123.166.61.70:8003/hls/41/index.m3u8$订阅源
CCTV-4,http://121.24.98.154:8090/hls/12/index.m3u8$订阅源
CCTV-4,http://116.128.242.83:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-4,http://60.26.2.64:7000/udp/225.1.1.150:5002$订阅源|1920x1080
CCTV-4,http://ygbh666.cn/aikmigu.php?id=cctv4$订阅源
CCTV-4,http://116.117.105.198:8096/tsfile/live/0004_1.m3u8$订阅源
CCTV-4,http://221.205.129.74:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-4,http://221.205.129.229:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-4,http://221.205.130.91:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-4,http://106.116.3.60:8890/rtp/239.254.200.190:6307$河北电信组播源|1920x1080
CCTV-4,http://106.116.3.60:8890/rtp/239.254.201.205:4220$河北电信组播源|1920x1080
CCTV-4,http://222.141.132.53:888/rtp/225.1.5.30:1333$河南联通组播源|1920x1080
CCTV-4,http://222.141.132.53:888/rtp/225.1.4.4:1033$河南联通组播源|1920x1080
CCTV-4,http://222.70.23.103:6666/rtp/239.45.0.2:5140$上海电信组播源|1920x1080
CCTV-4,http://139.196.151.191:2051/rtp/239.45.0.2:5140$上海电信组播源
CCTV-4,http://120.55.49.231:3095/rtp/233.50.200.101:5140$浙江电信组播源
CCTV-4,http://183.141.216.3:9999/rtp/233.50.200.101:5140$浙江电信组播源|1920x1080
CCTV-4,http://120.55.49.231:3095/rtp/233.50.201.4:5140$浙江电信组播源
CCTV-4,http://183.141.216.3:9999/rtp/233.50.201.4:5140$浙江电信组播源|1920x1080
CCTV-4,http://125.80.154.251:8003/rtp/235.254.198.183:7980$重庆电信组播源|1920x1080
CCTV-4,http://125.80.154.251:8003/rtp/235.254.198.3:1288$重庆电信组播源|1920x1080
CCTV-4,http://122.4.30.168:8688/rtp/239.21.1.154:5002$山东电信组播源|1920x1080
CCTV-4,http://122.4.30.168:8688/rtp/239.21.1.4:5002$山东电信组播源|1920x1080
CCTV-5,http://111.9.163.109:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://1.24.190.98:10089/hls/26/index.m3u8$订阅源|1920x1080
CCTV-5,http://58.48.37.158:1111/tsfile/live/0005_1.m3u8$订阅源
CCTV-5,http://1.24.190.98:10089/hls/9/index.m3u8$订阅源|1920x1080
CCTV-5,http://119.163.57.184:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://119.163.228.205:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-5,http://60.26.2.64:7000/udp/225.1.1.121:5002$订阅源|1920x1080
CCTV-5,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$订阅源
CCTV-5,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000//1.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=3$订阅源|1920x1080
CCTV-5,http://[2409:8087:74d9:21::6]:80/270000001128/9900000005/index.m3u8$订阅源
CCTV-5,http://221.205.130.91:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-5,http://221.205.129.74:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-5,http://221.205.129.229:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$山西酒店源
CCTV-5,http://106.116.3.60:8890/rtp/239.254.200.14:6000$河北电信组播源|1920x1080
CCTV-5,http://106.116.3.60:8890/rtp/239.254.201.153:7206$河北电信组播源|1920x1080
CCTV-5,http://222.141.132.53:888/rtp/225.1.4.159:1195$河南联通组播源|1920x1080
CCTV-5,http://42.92.117.243:8888/rtp/239.255.29.13:8231$甘肃电信组播源|1920x1080
CCTV-5,http://222.70.23.103:6666/rtp/239.45.1.69:5140$上海电信组播源|1920x1080
CCTV-5,http://139.196.151.191:2051/rtp/239.45.1.69:5140$上海电信组播源
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.197:5140$浙江电信组播源
CCTV-5,http://183.141.216.3:9999/rtp/233.50.201.197:5140$浙江电信组播源|1920x1080
CCTV-5,http://120.55.49.231:3095/rtp/233.50.201.17:5140$浙江电信组播源
CCTV-5,http://183.141.216.3:9999/rtp/233.50.201.17:5140$浙江电信组播源|1920x1080
CCTV-5,http://125.80.154.251:8003/rtp/235.254.198.54:1492$重庆电信组播源|1920x1080
CCTV-5,http://125.80.154.251:8003/rtp/235.254.198.142:1846$重庆电信组播源|1920x1080
CCTV-5,http://122.4.30.168:8688/rtp/239.21.2.46:5002$山东电信组播源|1920x1080
CCTV-5,http://122.4.30.168:8688/rtp/239.21.1.5:5002$山东电信组播源|1920x1080
CCTV-5+,http://222.218.158.86:8181/tsfile/live/0016_1.m3u8$订阅源|1920x1080
CCTV-5+,http://183.223.157.33:9901/tsfile/live/0018_1.m3u8?key=txiptv$订阅源
CCTV-5+,http://kxrj.site:998/123/mg.php?id=cctv5p$订阅源
